,yuv,framenos,fps,w,h
0,1080p_1M_Bonfire.yuv,527,60.0,1920,1080
1,1080p_1M_CargoBoat.yuv,650,60.0,1920,1080
2,1080p_1M_CenterPanorama.yuv,606,60.0,1920,1080
3,1080p_1M_Chasing1.yuv,610,59.94005994005994,1920,1080
4,1080p_1M_Chasing3.yuv,424,59.94005994005994,1920,1080
5,1080p_1M_Chasing4.yuv,424,59.94005994005994,1920,1080
6,1080p_1M_CourtYard.yuv,608,60.0,1920,1080
7,1080p_1M_Daylight1.yuv,483,59.94005994005994,1920,1080
8,1080p_1M_firework.yuv,608,60.0,1920,1080
9,1080p_1M_Flowers.yuv,668,60.0,1920,1080
10,1080p_1M_football10.yuv,505,50.0,1920,1080
11,1080p_1M_football1.yuv,506,50.0,1920,1080
12,1080p_1M_football2.yuv,506,50.0,1920,1080
13,1080p_1M_football3.yuv,456,50.0,1920,1080
14,1080p_1M_football4.yuv,403,50.0,1920,1080
15,1080p_1M_football5.yuv,506,50.0,1920,1080
16,1080p_1M_football6.yuv,456,50.0,1920,1080
17,1080p_1M_football7.yuv,456,50.0,1920,1080
18,1080p_1M_football8.yuv,456,50.0,1920,1080
19,1080p_1M_football9.yuv,506,50.0,1920,1080
20,1080p_1M_Furniture.yuv,473,60.0,1920,1080
21,1080p_1M_golf1.yuv,452,50.0,1920,1080
22,1080p_1M_golf2.yuv,501,50.0,1920,1080
23,1080p_1M_Light2.yuv,352,59.94005994005994,1920,1080
24,1080p_1M_Light3.yuv,367,59.94005994005994,1920,1080
25,1080p_1M_Light4.yuv,385,59.94005994005994,1920,1080
26,1080p_1M_NighTraffic.yuv,496,60.0,1920,1080
27,1080p_1M_OfficeBuilding.yuv,525,60.0,1920,1080
28,1080p_1M_Porsche.yuv,301,60.0,1920,1080
29,1080p_1M_Skyscraper.yuv,363,60.0,1920,1080
30,1080p_1M_UrbanLandmark.yuv,568,60.0,1920,1080
31,1080p_6M_Bonfire.yuv,527,60.0,1920,1080
32,1080p_6M_CargoBoat.yuv,650,60.0,1920,1080
33,1080p_6M_CenterPanorama.yuv,606,60.0,1920,1080
34,1080p_6M_Chasing1.yuv,610,59.94005994005994,1920,1080
35,1080p_6M_Chasing3.yuv,424,59.94005994005994,1920,1080
36,1080p_6M_Chasing4.yuv,424,59.94005994005994,1920,1080
37,1080p_6M_CourtYard.yuv,608,60.0,1920,1080
38,1080p_6M_Daylight1.yuv,483,59.94005994005994,1920,1080
39,1080p_6M_firework.yuv,608,60.0,1920,1080
40,1080p_6M_Flowers.yuv,668,60.0,1920,1080
41,1080p_6M_football10.yuv,505,50.0,1920,1080
42,1080p_6M_football1.yuv,506,50.0,1920,1080
43,1080p_6M_football2.yuv,506,50.0,1920,1080
44,1080p_6M_football3.yuv,456,50.0,1920,1080
45,1080p_6M_football4.yuv,403,50.0,1920,1080
46,1080p_6M_football5.yuv,506,50.0,1920,1080
47,1080p_6M_football6.yuv,456,50.0,1920,1080
48,1080p_6M_football7.yuv,456,50.0,1920,1080
49,1080p_6M_football8.yuv,456,50.0,1920,1080
50,1080p_6M_football9.yuv,506,50.0,1920,1080
51,1080p_6M_Furniture.yuv,473,60.0,1920,1080
52,1080p_6M_golf1.yuv,452,50.0,1920,1080
53,1080p_6M_golf2.yuv,501,50.0,1920,1080
54,1080p_6M_Light2.yuv,352,59.94005994005994,1920,1080
55,1080p_6M_Light3.yuv,367,59.94005994005994,1920,1080
56,1080p_6M_Light4.yuv,385,59.94005994005994,1920,1080
57,1080p_6M_NighTraffic.yuv,496,60.0,1920,1080
58,1080p_6M_OfficeBuilding.yuv,525,60.0,1920,1080
59,1080p_6M_Porsche.yuv,301,60.0,1920,1080
60,1080p_6M_Skyscraper.yuv,363,60.0,1920,1080
61,1080p_6M_UrbanLandmark.yuv,568,60.0,1920,1080
62,1080p_9M_Bonfire.yuv,527,60.0,1920,1080
63,1080p_9M_CargoBoat.yuv,650,60.0,1920,1080
64,1080p_9M_CenterPanorama.yuv,606,60.0,1920,1080
65,1080p_9M_Chasing1.yuv,610,59.94005994005994,1920,1080
66,1080p_9M_Chasing3.yuv,424,59.94005994005994,1920,1080
67,1080p_9M_Chasing4.yuv,424,59.94005994005994,1920,1080
68,1080p_9M_CourtYard.yuv,608,60.0,1920,1080
69,1080p_9M_Daylight1.yuv,483,59.94005994005994,1920,1080
70,1080p_9M_firework.yuv,608,60.0,1920,1080
71,1080p_9M_Flowers.yuv,668,60.0,1920,1080
72,1080p_9M_football10.yuv,505,50.0,1920,1080
73,1080p_9M_football1.yuv,506,50.0,1920,1080
74,1080p_9M_football2.yuv,506,50.0,1920,1080
75,1080p_9M_football3.yuv,456,50.0,1920,1080
76,1080p_9M_football4.yuv,403,50.0,1920,1080
77,1080p_9M_football5.yuv,506,50.0,1920,1080
78,1080p_9M_football6.yuv,456,50.0,1920,1080
79,1080p_9M_football7.yuv,456,50.0,1920,1080
80,1080p_9M_football8.yuv,456,50.0,1920,1080
81,1080p_9M_football9.yuv,506,50.0,1920,1080
82,1080p_9M_Furniture.yuv,473,60.0,1920,1080
83,1080p_9M_golf1.yuv,452,50.0,1920,1080
84,1080p_9M_golf2.yuv,501,50.0,1920,1080
85,1080p_9M_Light2.yuv,352,59.94005994005994,1920,1080
86,1080p_9M_Light3.yuv,367,59.94005994005994,1920,1080
87,1080p_9M_Light4.yuv,385,59.94005994005994,1920,1080
88,1080p_9M_NighTraffic.yuv,496,60.0,1920,1080
89,1080p_9M_OfficeBuilding.yuv,525,60.0,1920,1080
90,1080p_9M_Porsche.yuv,301,60.0,1920,1080
91,1080p_9M_Skyscraper.yuv,363,60.0,1920,1080
92,1080p_9M_UrbanLandmark.yuv,568,60.0,1920,1080
93,4k_15M_Bonfire.yuv,527,60.0,3840,2160
94,4k_15M_CargoBoat.yuv,650,60.0,3840,2160
95,4k_15M_CenterPanorama.yuv,606,60.0,3840,2160
96,4k_15M_Chasing1.yuv,610,59.94005994005994,3840,2160
97,4k_15M_Chasing3.yuv,424,59.94005994005994,3840,2160
98,4k_15M_Chasing4.yuv,424,59.94005994005994,3840,2160
99,4k_15M_CourtYard.yuv,608,60.0,3840,2160
100,4k_15M_Daylight1.yuv,483,59.94005994005994,3840,2160
101,4k_15M_firework.yuv,608,60.0,3840,2160
102,4k_15M_Flowers.yuv,668,60.0,3840,2160
103,4k_15M_football10.yuv,505,50.0,3840,2160
104,4k_15M_football1.yuv,506,50.0,3840,2160
105,4k_15M_football2.yuv,506,50.0,3840,2160
106,4k_15M_football3.yuv,456,50.0,3840,2160
107,4k_15M_football4.yuv,403,50.0,3840,2160
108,4k_15M_football5.yuv,506,50.0,3840,2160
109,4k_15M_football6.yuv,456,50.0,3840,2160
110,4k_15M_football7.yuv,456,50.0,3840,2160
111,4k_15M_football8.yuv,456,50.0,3840,2160
112,4k_15M_football9.yuv,506,50.0,3840,2160
113,4k_15M_Furniture.yuv,473,60.0,3840,2160
114,4k_15M_golf1.yuv,452,50.0,3840,2160
115,4k_15M_golf2.yuv,501,50.0,3840,2160
116,4k_15M_Light2.yuv,352,59.94005994005994,3840,2160
117,4k_15M_Light3.yuv,367,59.94005994005994,3840,2160
118,4k_15M_Light4.yuv,385,59.94005994005994,3840,2160
119,4k_15M_NighTraffic.yuv,496,60.0,3840,2160
120,4k_15M_OfficeBuilding.yuv,525,60.0,3840,2160
121,4k_15M_Porsche.yuv,301,60.0,3840,2160
122,4k_15M_Skyscraper.yuv,363,60.0,3840,2160
123,4k_15M_UrbanLandmark.yuv,568,60.0,3840,2160
124,4k_3M_Bonfire.yuv,527,60.0,3840,2160
125,4k_3M_CargoBoat.yuv,650,60.0,3840,2160
126,4k_3M_CenterPanorama.yuv,606,60.0,3840,2160
127,4k_3M_Chasing1.yuv,610,59.94005994005994,3840,2160
128,4k_3M_Chasing3.yuv,424,59.94005994005994,3840,2160
129,4k_3M_Chasing4.yuv,424,59.94005994005994,3840,2160
130,4k_3M_CourtYard.yuv,608,60.0,3840,2160
131,4k_3M_Daylight1.yuv,483,59.94005994005994,3840,2160
132,4k_3M_firework.yuv,608,60.0,3840,2160
133,4k_3M_Flowers.yuv,668,60.0,3840,2160
134,4k_3M_football10.yuv,505,50.0,3840,2160
135,4k_3M_football1.yuv,506,50.0,3840,2160
136,4k_3M_football2.yuv,506,50.0,3840,2160
137,4k_3M_football3.yuv,456,50.0,3840,2160
138,4k_3M_football4.yuv,403,50.0,3840,2160
139,4k_3M_football5.yuv,506,50.0,3840,2160
140,4k_3M_football6.yuv,456,50.0,3840,2160
141,4k_3M_football7.yuv,456,50.0,3840,2160
142,4k_3M_football8.yuv,456,50.0,3840,2160
143,4k_3M_football9.yuv,506,50.0,3840,2160
144,4k_3M_Furniture.yuv,473,60.0,3840,2160
145,4k_3M_golf1.yuv,452,50.0,3840,2160
146,4k_3M_golf2.yuv,501,50.0,3840,2160
147,4k_3M_Light2.yuv,352,59.94005994005994,3840,2160
148,4k_3M_Light3.yuv,367,59.94005994005994,3840,2160
149,4k_3M_Light4.yuv,385,59.94005994005994,3840,2160
150,4k_3M_NighTraffic.yuv,496,60.0,3840,2160
151,4k_3M_OfficeBuilding.yuv,525,60.0,3840,2160
152,4k_3M_Porsche.yuv,301,60.0,3840,2160
153,4k_3M_Skyscraper.yuv,363,60.0,3840,2160
154,4k_3M_UrbanLandmark.yuv,568,60.0,3840,2160
155,4k_6M_Bonfire.yuv,527,60.0,3840,2160
156,4k_6M_CargoBoat.yuv,650,60.0,3840,2160
157,4k_6M_CenterPanorama.yuv,606,60.0,3840,2160
158,4k_6M_Chasing1.yuv,610,59.94005994005994,3840,2160
159,4k_6M_Chasing3.yuv,424,59.94005994005994,3840,2160
160,4k_6M_Chasing4.yuv,424,59.94005994005994,3840,2160
161,4k_6M_CourtYard.yuv,608,60.0,3840,2160
162,4k_6M_Daylight1.yuv,483,59.94005994005994,3840,2160
163,4k_6M_firework.yuv,608,60.0,3840,2160
164,4k_6M_Flowers.yuv,668,60.0,3840,2160
165,4k_6M_football10.yuv,505,50.0,3840,2160
166,4k_6M_football1.yuv,506,50.0,3840,2160
167,4k_6M_football2.yuv,506,50.0,3840,2160
168,4k_6M_football3.yuv,456,50.0,3840,2160
169,4k_6M_football4.yuv,403,50.0,3840,2160
170,4k_6M_football5.yuv,506,50.0,3840,2160
171,4k_6M_football6.yuv,456,50.0,3840,2160
172,4k_6M_football7.yuv,456,50.0,3840,2160
173,4k_6M_football8.yuv,456,50.0,3840,2160
174,4k_6M_football9.yuv,506,50.0,3840,2160
175,4k_6M_Furniture.yuv,473,60.0,3840,2160
176,4k_6M_golf1.yuv,452,50.0,3840,2160
177,4k_6M_golf2.yuv,501,50.0,3840,2160
178,4k_6M_Light2.yuv,352,59.94005994005994,3840,2160
179,4k_6M_Light3.yuv,367,59.94005994005994,3840,2160
180,4k_6M_Light4.yuv,385,59.94005994005994,3840,2160
181,4k_6M_NighTraffic.yuv,496,60.0,3840,2160
182,4k_6M_OfficeBuilding.yuv,525,60.0,3840,2160
183,4k_6M_Porsche.yuv,301,60.0,3840,2160
184,4k_6M_Skyscraper.yuv,363,60.0,3840,2160
185,4k_6M_UrbanLandmark.yuv,568,60.0,3840,2160
186,4k_ref_Bonfire.yuv,527,60.0,3840,2160
187,4k_ref_CargoBoat.yuv,650,60.0,3840,2160
188,4k_ref_CenterPanorama.yuv,606,60.0,3840,2160
189,4k_ref_Chasing1.yuv,610,59.94005994005994,3840,2160
190,4k_ref_Chasing3.yuv,424,59.94005994005994,3840,2160
191,4k_ref_Chasing4.yuv,424,59.94005994005994,3840,2160
192,4k_ref_CourtYard.yuv,608,60.0,3840,2160
193,4k_ref_Daylight1.yuv,512,59.94005994005994,3840,2160
194,4k_ref_firework.yuv,608,60.0,3840,2160
195,4k_ref_Flowers.yuv,668,60.0,3840,2160
196,4k_ref_football10.yuv,505,50.0,3840,2160
197,4k_ref_football1.yuv,506,50.0,3840,2160
198,4k_ref_football2.yuv,506,50.0,3840,2160
199,4k_ref_football3.yuv,456,50.0,3840,2160
200,4k_ref_football4.yuv,403,50.0,3840,2160
201,4k_ref_football5.yuv,506,50.0,3840,2160
202,4k_ref_football6.yuv,456,50.0,3840,2160
203,4k_ref_football7.yuv,456,50.0,3840,2160
204,4k_ref_football8.yuv,456,50.0,3840,2160
205,4k_ref_football9.yuv,506,50.0,3840,2160
206,4k_ref_Furniture.yuv,473,60.0,3840,2160
207,4k_ref_golf1.yuv,452,50.0,3840,2160
208,4k_ref_golf2.yuv,501,50.0,3840,2160
209,4k_ref_Light2.yuv,352,59.94005994005994,3840,2160
210,4k_ref_Light3.yuv,367,59.94005994005994,3840,2160
211,4k_ref_Light4.yuv,385,59.94005994005994,3840,2160
212,4k_ref_NighTraffic.yuv,496,60.0,3840,2160
213,4k_ref_OfficeBuilding.yuv,525,60.0,3840,2160
214,4k_ref_Porsche.yuv,301,60.0,3840,2160
215,4k_ref_Skyscraper.yuv,363,60.0,3840,2160
216,4k_ref_UrbanLandmark.yuv,568,60.0,3840,2160
217,540p_2.2M_Bonfire.yuv,527,60.0,960,540
218,540p_2.2M_CargoBoat.yuv,650,60.0,960,540
219,540p_2.2M_CenterPanorama.yuv,606,60.0,960,540
220,540p_2.2M_Chasing1.yuv,610,59.94005994005994,960,540
221,540p_2.2M_Chasing3.yuv,424,59.94005994005994,960,540
222,540p_2.2M_Chasing4.yuv,424,59.94005994005994,960,540
223,540p_2.2M_CourtYard.yuv,608,60.0,960,540
224,540p_2.2M_Daylight1.yuv,483,59.94005994005994,960,540
225,540p_2.2M_firework.yuv,608,60.0,960,540
226,540p_2.2M_Flowers.yuv,668,60.0,960,540
227,540p_2.2M_football10.yuv,505,50.0,960,540
228,540p_2.2M_football1.yuv,506,50.0,960,540
229,540p_2.2M_football2.yuv,506,50.0,960,540
230,540p_2.2M_football3.yuv,456,50.0,960,540
231,540p_2.2M_football4.yuv,403,50.0,960,540
232,540p_2.2M_football5.yuv,506,50.0,960,540
233,540p_2.2M_football6.yuv,456,50.0,960,540
234,540p_2.2M_football7.yuv,456,50.0,960,540
235,540p_2.2M_football8.yuv,456,50.0,960,540
236,540p_2.2M_football9.yuv,506,50.0,960,540
237,540p_2.2M_Furniture.yuv,473,60.0,960,540
238,540p_2.2M_golf1.yuv,452,50.0,960,540
239,540p_2.2M_golf2.yuv,501,50.0,960,540
240,540p_2.2M_Light2.yuv,352,59.94005994005994,960,540
241,540p_2.2M_Light3.yuv,367,59.94005994005994,960,540
242,540p_2.2M_Light4.yuv,385,59.94005994005994,960,540
243,540p_2.2M_NighTraffic.yuv,496,60.0,960,540
244,540p_2.2M_OfficeBuilding.yuv,525,60.0,960,540
245,540p_2.2M_Porsche.yuv,301,60.0,960,540
246,540p_2.2M_Skyscraper.yuv,363,60.0,960,540
247,540p_2.2M_UrbanLandmark.yuv,568,60.0,960,540
248,720p_2.6M_Bonfire.yuv,527,60.0,1280,720
249,720p_2.6M_CargoBoat.yuv,650,60.0,1280,720
250,720p_2.6M_CenterPanorama.yuv,606,60.0,1280,720
251,720p_2.6M_Chasing1.yuv,610,59.94005994005994,1280,720
252,720p_2.6M_Chasing3.yuv,424,59.94005994005994,1280,720
253,720p_2.6M_Chasing4.yuv,424,59.94005994005994,1280,720
254,720p_2.6M_CourtYard.yuv,608,60.0,1280,720
255,720p_2.6M_Daylight1.yuv,483,59.94005994005994,1280,720
256,720p_2.6M_firework.yuv,608,60.0,1280,720
257,720p_2.6M_Flowers.yuv,668,60.0,1280,720
258,720p_2.6M_football10.yuv,505,50.0,1280,720
259,720p_2.6M_football1.yuv,506,50.0,1280,720
260,720p_2.6M_football2.yuv,506,50.0,1280,720
261,720p_2.6M_football3.yuv,456,50.0,1280,720
262,720p_2.6M_football4.yuv,403,50.0,1280,720
263,720p_2.6M_football5.yuv,506,50.0,1280,720
264,720p_2.6M_football6.yuv,456,50.0,1280,720
265,720p_2.6M_football7.yuv,456,50.0,1280,720
266,720p_2.6M_football8.yuv,456,50.0,1280,720
267,720p_2.6M_football9.yuv,506,50.0,1280,720
268,720p_2.6M_Furniture.yuv,473,60.0,1280,720
269,720p_2.6M_golf1.yuv,452,50.0,1280,720
270,720p_2.6M_golf2.yuv,501,50.0,1280,720
271,720p_2.6M_Light2.yuv,352,59.94005994005994,1280,720
272,720p_2.6M_Light3.yuv,367,59.94005994005994,1280,720
273,720p_2.6M_Light4.yuv,385,59.94005994005994,1280,720
274,720p_2.6M_NighTraffic.yuv,496,60.0,1280,720
275,720p_2.6M_OfficeBuilding.yuv,525,60.0,1280,720
276,720p_2.6M_Porsche.yuv,301,60.0,1280,720
277,720p_2.6M_Skyscraper.yuv,363,60.0,1280,720
278,720p_2.6M_UrbanLandmark.yuv,568,60.0,1280,720
279,720p_4.6M_Bonfire.yuv,527,60.0,1280,720
280,720p_4.6M_CargoBoat.yuv,650,60.0,1280,720
281,720p_4.6M_CenterPanorama.yuv,606,60.0,1280,720
282,720p_4.6M_Chasing1.yuv,610,59.94005994005994,1280,720
283,720p_4.6M_Chasing3.yuv,424,59.94005994005994,1280,720
284,720p_4.6M_Chasing4.yuv,424,59.94005994005994,1280,720
285,720p_4.6M_CourtYard.yuv,608,60.0,1280,720
286,720p_4.6M_Daylight1.yuv,483,59.94005994005994,1280,720
287,720p_4.6M_firework.yuv,608,60.0,1280,720
288,720p_4.6M_Flowers.yuv,668,60.0,1280,720
289,720p_4.6M_football10.yuv,505,50.0,1280,720
290,720p_4.6M_football1.yuv,506,50.0,1280,720
291,720p_4.6M_football2.yuv,506,50.0,1280,720
292,720p_4.6M_football3.yuv,456,50.0,1280,720
293,720p_4.6M_football4.yuv,403,50.0,1280,720
294,720p_4.6M_football5.yuv,506,50.0,1280,720
295,720p_4.6M_football6.yuv,456,50.0,1280,720
296,720p_4.6M_football7.yuv,456,50.0,1280,720
297,720p_4.6M_football8.yuv,456,50.0,1280,720
298,720p_4.6M_football9.yuv,506,50.0,1280,720
299,720p_4.6M_Furniture.yuv,473,60.0,1280,720
300,720p_4.6M_golf1.yuv,452,50.0,1280,720
301,720p_4.6M_golf2.yuv,501,50.0,1280,720
302,720p_4.6M_Light2.yuv,352,59.94005994005994,1280,720
303,720p_4.6M_Light3.yuv,367,59.94005994005994,1280,720
304,720p_4.6M_Light4.yuv,385,59.94005994005994,1280,720
305,720p_4.6M_NighTraffic.yuv,496,60.0,1280,720
306,720p_4.6M_OfficeBuilding.yuv,525,60.0,1280,720
307,720p_4.6M_Porsche.yuv,301,60.0,1280,720
308,720p_4.6M_Skyscraper.yuv,363,60.0,1280,720
309,720p_4.6M_UrbanLandmark.yuv,568,60.0,1280,720
